INFERÊNCIA (A),INFERÊNCIA (B),P(A),P(A|B),ANO,Empresa,FONTE
motivo: financeiro,setor de saúde,-,0.98,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados pessoais comprometidos,setor de saúde,-,0.67,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados de credenciais comprometidos,setor de saúde,-,0.36,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados médicos comprometidos,setor de saúde,-,0.54,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
atores externos,setor de comércio,-,0.94,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
atores internos,setor de comércio,-,0.07,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
motivo: financeiro,setor de comércio,-,1,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados pessoais comprometidos,setor de comércio,-,0.23,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados de credenciais comprometidos,setor de comércio,-,0.35,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados de pagamentos comprometidos,setor de comércio,-,0.37,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
atores externos,pequenas e médias empresas,-,0.94,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
atores internos,pequenas e médias empresas,-,0.07,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
motivo: financeiro,pequenas e médias empresas,-,0.98,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados internos comprometidos,pequenas e médias empresas,-,0.37,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados de credenciais comprometidos,pequenas e médias empresas,-,0.54,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
atores externos,grandes empresas,-,0.89,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
atores internos,grandes empresas,-,0.13,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
motivo: financeiro,grandes empresas,-,0.97,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados internos comprometidos,grandes empresas,-,0.41,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados de credenciais comprometidos,grandes empresas,-,0.37,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
atores externos,região: APAC,-,0.92,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
atores internos,região: APAC,-,0.09,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
motivo: financeiro,região: APAC,-,0.61,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
motivo: espionagem,região: APAC,-,0.39,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados internos comprometidos,região: APAC,-,0.56,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados secretos comprometidos,região: APAC,-,0.42,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados de credenciais comprometidos,região: APAC,-,0.29,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
atores externos,região: EMEA,-,0.98,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
atores internos,região: EMEA,-,0.02,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
motivo: financeiro,região: EMEA,-,0.91,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
motivo: espionagem,região: EMEA,-,0.08,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados internos comprometidos,região: EMEA,-,0.37,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados de sistema comprometidos,região: EMEA,-,0.35,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados de credenciais comprometidos,região: EMEA,-,0.53,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
atores externos,região: LAC,-,0.95,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
atores internos,região: LAC,-,0.05,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
motivo: financeiro,região: LAC,-,0.93,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
motivo: espionagem,região: LAC,-,0.11,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados internos comprometidos,região: LAC,-,0.32,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados de sistema comprometidos,região: LAC,-,0.55,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados de credenciais comprometidos,região: LAC,-,0.23,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
atores externos,região: NA,-,0.94,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
atores internos,região: NA,-,0.12,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
motivo: financeiro,região: NA,-,0.99,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
motivo: espionagem,região: NA,-,0.01,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados internos comprometidos,região: NA,-,0.5,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados pessoais comprometidos,região: NA,-,0.38,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados de credenciais comprometidos,região: NA,-,0.67,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
vazamento,dados guardados na nuvem,-,0.82,2023,IBM,IBM Cost of a vazamento de dados Report 2023
ransomware,brecha,-,0.24,2023,IBM,IBM Cost of a vazamento de dados Report 2023
setor de comércio,Brasil,-,0.364,2021,IBGE,https://www.ibge.gov.br/estatisticas/economicas/comercio/22649-demografia-das-empresas-e-estatisticas-de-empreendedorismo.html
setor de saúde,Brasil,-,0.064,2021,IBGE,https://www.ibge.gov.br/estatisticas/economicas/comercio/22649-demografia-das-empresas-e-estatisticas-de-empreendedorismo.html
setor financeiro,Brasil,-,0.03,2021,IBGE,https://www.ibge.gov.br/estatisticas/economicas/comercio/22649-demografia-das-empresas-e-estatisticas-de-empreendedorismo.html
setor de comércio,-,0.3,-,2023,OECD,https://stats.oecd.org/index.aspx?queryid=91
setor de saúde,-,0.1,-,2023,WHO,https://www.who.int/data/gho/data/themes/topics/health-workforce
setor financeiro,-,0.07,-,2023,IMF,https://www.imf.org/en/Home
DDoS,Brasil,-,0.0175,2022,Microsoft,https://www.microsoft.com/en-us/security/blog/2023/02/21/2022-in-review-ddos-attack-trends-and-insights/
DDoS,Estados Unidos,-,0.4502,2022,Microsoft,https://www.microsoft.com/en-us/security/blog/2023/02/21/2022-in-review-ddos-attack-trends-and-insights/
DDoS,India,-,0.1322,2022,Microsoft,https://www.microsoft.com/en-us/security/blog/2023/02/21/2022-in-review-ddos-attack-trends-and-insights/
DDoS,Europa,-,0.1049,2022,Microsoft,https://www.microsoft.com/en-us/security/blog/2023/02/21/2022-in-review-ddos-attack-trends-and-insights/
DDoS,Leste Asiático,-,0.1125,2022,Microsoft,https://www.microsoft.com/en-us/security/blog/2023/02/21/2022-in-review-ddos-attack-trends-and-insights/
DDoS,Coréia do Sul,-,0.0422,2022,Microsoft,https://www.microsoft.com/en-us/security/blog/2023/02/21/2022-in-review-ddos-attack-trends-and-insights/
DDoS,Reino Unido,-,0.0223,2022,Microsoft,https://www.microsoft.com/en-us/security/blog/2023/02/21/2022-in-review-ddos-attack-trends-and-insights/
DDoS,Australia,-,0.0202,2022,Microsoft,https://www.microsoft.com/en-us/security/blog/2023/02/21/2022-in-review-ddos-attack-trends-and-insights/
DDoS,setor financeiro,-,0.34,2022,Stormwall,https://stormwall.network/ddos-report-stormwall-2022
DDoS,setor de comércio,-,0.17,2022,Stormwall,https://stormwall.network/ddos-report-stormwall-2022
DDoS,setor de saúde,-,0.01,2022,Stormwall,https://stormwall.network/ddos-report-stormwall-2022
DDoS,setor de telecomunicações,-,0.26,2022,Stormwall,https://stormwall.network/ddos-report-stormwall-2022
DDoS,setor de entretenimento,-,0.12,2022,Stormwall,https://stormwall.network/ddos-report-stormwall-2022
DDoS,setor de educação,-,0.02,2022,Stormwall,https://stormwall.network/ddos-report-stormwall-2022
DDoS,Estados Unidos,-,0.183,2022,Stormwall,https://stormwall.network/ddos-report-stormwall-2022
DDoS,China,-,0.107,2022,Stormwall,https://stormwall.network/ddos-report-stormwall-2022
DDoS,India,-,0.092,2022,Stormwall,https://stormwall.network/ddos-report-stormwall-2022
DDoS,Russia,-,0.084,2022,Stormwall,https://stormwall.network/ddos-report-stormwall-2022
DDoS,Inglaterra,-,0.072,2022,Stormwall,https://stormwall.network/ddos-report-stormwall-2022
DDoS,Alemanha,-,0.068,2022,Stormwall,https://stormwall.network/ddos-report-stormwall-2022
DDoS,França,-,0.053,2022,Stormwall,https://stormwall.network/ddos-report-stormwall-2022
DDoS,Japão,-,0.047,2022,Stormwall,https://stormwall.network/ddos-report-stormwall-2022
DDoS,Ucrânia,-,0.045,2022,Stormwall,https://stormwall.network/ddos-report-stormwall-2022
DDoS,Brasil,-,0.042,2022,Stormwall,https://stormwall.network/ddos-report-stormwall-2022
DDoS,setor financeiro,-,0.526,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
DDoS,setor de comércio,-,0.06,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
DDoS,setor de saúde,-,0.105,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
DDoS,setor de telecomunicações,-,0.047,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
DDoS,setor de educação,-,0.028,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
DDoS,setor financeiro | região: Américas,-,0.315,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
DDoS,setor de saúde | região: Américas,-,0.239,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
DDoS,setor de telecomunicações | região: Américas,-,0.123,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
DDoS,setor financeiro | região: EMEA,-,0.706,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
DDoS,setor de saúde | região: EMEA,-,0.0332,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
DDoS,setor de telecomunicações | região: EMEA,-,0.0113,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
DDoS,setor de educação | região: EMEA,-,0.0128,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
DDoS,setor financeiro | região: APAC,-,0.0935,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
DDoS,setor de saúde | região: APAC,-,0.0261,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
DDoS,setor de telecomunicações | região: APAC,-,0.023,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
DDoS,setor de educação | região: APAC,-,0.0411,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
DDoS,setor de saúde | região: APAC,-,0.0261,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
ciberataque,Estados Unidos,-,0.484,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
ciberataque,India,-,0.0994,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
ciberataque,Itália,-,0.0813,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
ciberataque,Rússia,-,0.0722,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
ciberataque,Canadá,-,0.0564,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
ciberataque,Alemanha,-,0.0478,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
ciberataque,Reino Unido,-,0.0397,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
ataque por uma aplicação web,setor financeiro,-,0.03,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
ataque por uma aplicação web,setor de comércio,-,0.253,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
ataque por uma aplicação web,setor de educação,-,0.0333,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
ataque por uma aplicação web,setor de saúde,-,0.0331,2022,Radware,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
