Reputação,Periodicidade,Cobertura,Escopo,Abrangência,Metodologia,Peso Final,Score
0,0,0,2,1,1,2.0,Ruim
1,2,1,0,2,1,3.5,Bom
2,0,2,0,0,0,2.0,Ruim
0,2,0,1,0,1,2.0,Ruim
0,1,1,0,0,1,1.5,Ruim
1,1,1,2,2,0,3.5,Bom
1,0,0,1,2,0,2.0,Ruim
2,2,0,2,2,2,5.0,Ótimo
2,2,2,2,2,1,5.5,Ótimo
2,2,0,0,0,2,3.0,Bom
2,1,1,0,1,1,3.0,Bom
2,1,0,0,1,2,3.0,Bom
0,1,1,2,1,2,3.5,Bom
2,2,1,0,2,1,4.0,Bom
1,2,2,2,1,1,4.5,Bom
2,2,0,0,0,2,3.0,Bom
1,0,2,0,2,2,3.5,Bom
0,2,2,2,0,2,4.0,Bom
1,2,0,2,0,2,3.5,Bom
2,1,2,2,2,0,4.5,Bom
0,1,2,2,2,2,4.5,Bom
2,1,1,0,1,2,3.5,Bom
0,1,0,1,0,1,1.5,Ruim
2,1,1,0,0,2,3.0,Bom
2,1,2,1,0,0,3.0,Bom
1,0,2,1,2,0,3.0,Bom
1,1,2,0,2,0,3.0,Bom
1,2,2,1,0,1,3.5,Bom
2,1,2,2,1,2,5.0,Ótimo
2,2,1,2,1,2,5.0,Ótimo
0,2,1,0,2,1,3.0,Bom
1,1,0,0,1,1,2.0,Ruim
0,0,0,2,0,2,2.0,Ruim
0,2,1,2,0,1,3.0,Bom
1,0,0,2,2,0,2.5,Ruim
0,1,2,1,0,0,2.0,Ruim
1,2,1,2,0,2,4.0,Bom
1,1,2,1,0,2,3.5,Bom
0,2,2,0,0,1,2.5,Ruim
1,1,1,2,2,0,3.5,Bom
0,0,2,2,1,0,2.5,Ruim
0,2,0,2,1,1,3.0,Bom
2,0,0,0,2,1,2.5,Ruim
0,0,1,1,1,1,2.0,Ruim
1,2,2,0,1,0,3.0,Bom
1,0,0,1,0,1,1.5,Ruim
0,1,2,0,1,0,2.0,Ruim
2,1,0,0,0,0,1.5,Ruim
1,0,2,2,1,1,3.5,Bom
1,2,1,0,0,2,3.0,Bom
1,0,0,1,0,2,2.0,Ruim
0,2,0,0,0,0,1.0,Ruim
1,1,0,1,1,0,2.0,Ruim
2,2,0,2,1,1,4.0,Bom
1,0,2,1,2,0,3.0,Bom
0,0,0,1,2,0,1.5,Ruim
1,1,2,2,0,2,4.0,Bom
1,0,2,2,0,1,3.0,Bom
1,2,1,0,0,2,3.0,Bom
1,1,1,2,2,0,3.5,Bom
2,0,1,1,2,1,3.5,Bom
1,0,1,1,1,1,2.5,Ruim
1,0,0,1,2,0,2.0,Ruim
0,0,2,0,0,2,2.0,Ruim
0,0,2,1,1,2,3.0,Bom
2,2,2,0,0,2,4.0,Bom
2,0,0,1,1,1,2.5,Ruim
0,1,0,2,1,2,3.0,Bom
2,1,1,0,2,2,4.0,Bom
1,1,1,2,1,2,4.0,Bom
1,2,1,0,1,0,2.5,Ruim
1,1,1,0,1,2,3.0,Bom
0,2,0,1,0,2,2.5,Ruim
1,0,1,0,1,2,2.5,Ruim
2,1,2,0,2,1,4.0,Bom
2,1,2,0,1,1,3.5,Bom
1,0,0,0,0,2,1.5,Ruim
1,1,2,0,1,0,2.5,Ruim
1,2,1,2,0,1,3.5,Bom
0,1,1,2,1,0,2.5,Ruim
2,0,0,0,2,2,3.0,Bom
1,1,0,2,2,2,4.0,Bom
2,1,1,1,1,2,4.0,Bom
1,1,0,2,1,1,3.0,Bom
2,0,0,1,0,2,2.5,Ruim
2,2,0,2,2,2,5.0,Ótimo
1,0,0,2,2,2,3.5,Bom
1,1,2,1,2,1,4.0,Bom
1,2,0,2,2,1,4.0,Bom
1,0,1,2,1,2,3.5,Bom
1,2,1,0,2,1,3.5,Bom
0,0,1,1,2,1,2.5,Ruim
0,2,2,0,0,1,2.5,Ruim
2,1,2,1,0,2,4.0,Bom
2,2,2,1,2,0,4.5,Bom
0,1,0,2,2,2,3.5,Bom
0,2,1,1,1,0,2.5,Ruim
0,2,1,1,0,1,2.5,Ruim
1,2,0,1,0,1,2.5,Ruim
0,1,2,1,1,2,3.5,Bom
2,1,1,2,0,2,4.0,Bom
0,2,1,1,2,2,4.0,Bom
2,2,0,0,0,0,2.0,Ruim
0,2,2,1,2,0,3.5,Bom
0,1,2,0,2,2,3.5,Bom
2,0,0,2,2,2,4.0,Bom
1,2,1,0,2,0,3.0,Bom
0,1,2,2,0,0,2.5,Ruim
1,2,2,0,0,0,2.5,Ruim
1,0,2,0,1,2,3.0,Bom
1,2,0,0,0,0,1.5,Ruim
0,0,2,2,0,1,2.5,Ruim
0,2,2,1,0,0,2.5,Ruim
1,2,1,0,0,1,2.5,Ruim
1,1,0,1,0,2,2.5,Ruim
0,1,2,0,0,2,2.5,Ruim
2,1,0,0,2,0,2.5,Ruim
2,1,2,2,0,0,3.5,Bom
1,2,1,2,1,2,4.5,Bom
0,0,0,1,0,0,1.0,Ruim
1,2,0,2,0,1,3.0,Bom
1,0,2,0,1,1,2.5,Ruim
0,0,0,0,2,0,1.0,Ruim
2,0,1,2,1,2,4.0,Bom
0,2,0,2,1,0,2.5,Ruim
1,1,2,1,1,0,3.0,Bom
0,1,2,1,2,0,3.0,Bom
2,2,1,1,2,0,4.0,Bom
1,0,1,0,1,2,2.5,Ruim
0,2,0,2,2,0,3.0,Bom
2,1,2,0,2,2,4.5,Bom
1,2,2,1,2,0,4.0,Bom
2,2,2,1,2,1,5.0,Ótimo
2,2,0,1,2,2,4.5,Bom
1,1,0,1,0,2,2.5,Ruim
0,0,1,0,2,1,2.0,Ruim
1,0,1,2,0,2,3.0,Bom
0,1,0,0,0,2,1.5,Ruim
2,1,0,1,2,1,3.5,Bom
2,2,2,0,1,0,3.5,Bom
0,1,1,1,0,2,2.5,Ruim
0,2,1,0,0,1,2.0,Ruim
0,2,2,1,1,2,4.0,Bom
2,0,1,1,2,1,3.5,Bom
1,2,0,2,2,2,4.5,Bom
1,1,0,2,1,0,2.5,Ruim
0,1,0,0,0,2,1.5,Ruim
2,0,1,0,2,0,2.5,Ruim
2,2,1,2,1,1,4.5,Bom
1,1,1,0,1,2,3.0,Bom
1,0,2,2,2,1,4.0,Bom
1,2,0,0,0,0,1.5,Ruim
2,1,1,1,0,1,3.0,Bom
0,1,2,2,2,2,4.5,Bom
2,1,2,0,0,1,3.0,Bom
2,0,1,0,2,0,2.5,Ruim
1,2,0,2,2,0,3.5,Bom
2,2,1,2,0,2,4.5,Bom
2,0,0,1,1,0,2.0,Ruim
1,1,2,1,0,1,3.0,Bom
0,1,1,0,0,2,2.0,Ruim
2,2,2,0,1,0,3.5,Bom
1,0,1,1,0,0,1.5,Ruim
2,2,2,0,0,2,4.0,Bom
0,2,1,0,1,0,2.0,Ruim
1,1,0,2,0,0,2.0,Ruim
0,1,0,1,2,2,3.0,Bom
1,1,2,2,0,2,4.0,Bom
2,0,0,1,2,0,2.5,Ruim
0,0,0,1,1,0,1.0,Ruim
0,1,1,2,1,2,3.5,Bom
2,2,1,2,2,0,4.5,Bom
2,1,0,0,0,1,2.0,Ruim
1,2,0,1,1,2,3.5,Bom
2,1,1,1,0,1,3.0,Bom
0,1,0,1,2,1,2.5,Ruim
0,0,2,1,2,0,2.5,Ruim
2,2,1,2,1,1,4.5,Bom
0,1,0,2,1,0,2.0,Ruim
2,0,0,1,2,1,3.0,Bom
1,0,2,1,0,2,3.0,Bom
0,0,1,1,2,1,2.5,Ruim
2,1,1,1,0,0,2.5,Ruim
1,2,0,0,2,0,2.5,Ruim
2,1,2,2,2,0,4.5,Bom
1,1,1,1,0,2,3.0,Bom
0,0,2,0,0,1,1.5,Ruim
0,0,0,2,1,2,2.5,Ruim
2,0,2,0,0,1,2.5,Ruim
2,0,2,2,0,2,4.0,Bom
2,0,1,0,1,1,2.5,Ruim
2,1,1,1,0,0,2.5,Ruim
2,1,1,1,1,2,4.0,Bom
2,2,0,0,0,0,2.0,Ruim
2,1,2,2,1,2,5.0,Ótimo
2,0,0,2,2,1,3.5,Bom
2,1,2,0,2,2,4.5,Bom
1,1,0,2,2,1,3.5,Bom
2,0,1,2,0,2,3.5,Bom
0,1,2,1,1,2,3.5,Bom
2,1,2,1,0,1,3.5,Bom
0,0,2,1,0,1,2.0,Ruim
2,1,2,0,2,1,4.0,Bom
2,1,0,1,0,2,3.0,Bom
1,0,0,0,1,2,2.0,Ruim
0,1,0,1,0,2,2.0,Ruim
0,1,2,2,2,2,4.5,Bom
2,1,1,0,2,1,3.5,Bom
0,1,1,1,0,1,2.0,Ruim
2,0,0,0,1,0,1.5,Ruim
2,2,1,0,0,1,3.0,Bom
0,0,2,1,1,0,2.0,Ruim
0,2,2,1,0,0,2.5,Ruim
2,1,2,0,1,0,3.0,Bom
1,1,2,0,0,2,3.0,Bom
0,0,0,2,0,0,1.0,Ruim
0,2,1,2,1,2,4.0,Bom
1,0,1,1,2,2,3.5,Bom
1,1,1,2,1,0,3.0,Bom
1,2,2,2,0,0,3.5,Bom
0,0,2,2,0,2,3.0,Bom
0,0,2,0,1,0,1.5,Ruim
2,1,0,1,1,0,2.5,Ruim
1,2,0,1,1,1,3.0,Bom
0,2,0,2,2,2,4.0,Bom
0,1,2,0,0,0,1.5,Ruim
2,0,0,2,2,1,3.5,Bom
0,0,2,0,1,1,2.0,Ruim
0,2,0,2,1,2,3.5,Bom
2,1,1,2,1,0,3.5,Bom
0,1,0,1,1,1,2.0,Ruim
1,0,0,1,2,0,2.0,Ruim
2,0,1,0,1,2,3.0,Bom
2,2,2,0,1,1,4.0,Bom
2,1,1,1,0,0,2.5,Ruim
0,0,2,2,2,0,3.0,Bom
1,0,1,1,2,0,2.5,Ruim
1,1,0,2,1,1,3.0,Bom
1,2,0,0,1,1,2.5,Ruim
0,1,2,1,2,1,3.5,Bom
1,0,1,2,2,1,3.5,Bom
0,2,0,2,2,0,3.0,Bom
1,2,0,1,1,0,2.5,Ruim
1,0,1,1,2,1,3.0,Bom
1,1,0,0,1,2,2.5,Ruim
1,0,0,0,1,0,1.0,Ruim
2,1,0,2,1,0,3.0,Bom
0,0,2,1,2,1,3.0,Bom
1,2,1,0,1,2,3.5,Bom
2,1,2,1,0,2,4.0,Bom
2,1,0,0,0,0,1.5,Ruim
0,1,1,0,0,2,2.0,Ruim
2,1,2,1,1,0,3.5,Bom
1,0,0,1,2,2,3.0,Bom
0,2,2,0,0,2,3.0,Bom
1,1,2,2,0,1,3.5,Bom
1,1,2,1,1,2,4.0,Bom
2,1,1,0,2,1,3.5,Bom
2,0,1,0,1,0,2.0,Ruim
0,1,0,1,1,2,2.5,Ruim
2,1,2,2,0,0,3.5,Bom
1,1,0,1,0,2,2.5,Ruim
2,2,2,0,2,2,5.0,Ótimo
1,0,2,2,2,0,3.5,Bom
1,2,2,2,0,1,4.0,Bom
0,0,1,2,0,1,2.0,Ruim
2,1,2,2,2,2,5.5,Ótimo
1,1,1,0,2,1,3.0,Bom
2,1,1,1,0,0,2.5,Ruim
2,0,2,2,0,0,3.0,Bom
2,2,0,0,1,0,2.5,Ruim
2,2,0,1,2,1,4.0,Bom
2,0,1,1,1,0,2.5,Ruim
1,1,0,0,2,1,2.5,Ruim
0,0,0,0,1,2,1.5,Ruim
0,0,2,1,2,2,3.5,Bom
1,2,1,2,2,1,4.5,Bom
0,1,0,2,0,0,1.5,Ruim
1,0,1,0,0,1,1.5,Ruim
0,1,2,1,0,2,3.0,Bom
0,2,2,0,2,2,4.0,Bom
1,0,2,2,1,2,4.0,Bom
0,1,1,1,1,2,3.0,Bom
1,0,1,0,2,0,2.0,Ruim
0,1,0,1,1,1,2.0,Ruim
1,1,0,1,0,2,2.5,Ruim
2,2,0,0,1,1,3.0,Bom
2,1,2,2,0,0,3.5,Bom
1,1,1,2,2,1,4.0,Bom
1,2,2,0,0,0,2.5,Ruim
0,2,2,1,2,0,3.5,Bom
2,2,0,2,2,0,4.0,Bom
2,0,1,1,2,0,3.0,Bom
0,1,2,0,0,2,2.5,Ruim
0,1,0,0,2,1,2.0,Ruim
2,0,0,2,2,2,4.0,Bom
1,2,2,0,0,2,3.5,Bom
1,2,0,2,0,0,2.5,Ruim
0,2,2,1,1,1,3.5,Bom
1,2,0,1,0,2,3.0,Bom
1,1,1,1,2,2,4.0,Bom
0,0,1,1,1,2,2.5,Ruim
2,1,0,1,0,2,3.0,Bom
1,0,1,2,1,2,3.5,Bom
2,2,2,1,1,2,5.0,Ótimo
1,2,2,0,2,1,4.0,Bom
1,0,1,0,2,1,2.5,Ruim
0,0,2,1,0,2,2.5,Ruim
1,1,1,1,1,1,3.0,Bom
2,1,0,2,0,2,3.5,Bom
0,1,0,0,1,0,1.0,Ruim
0,0,0,2,2,0,2.0,Ruim
1,1,1,1,0,1,2.5,Ruim
2,0,2,0,1,1,3.0,Bom
2,1,0,1,1,2,3.5,Bom
2,0,2,1,0,1,3.0,Bom
1,2,2,0,2,1,4.0,Bom
1,2,0,1,2,1,3.5,Bom
1,1,0,0,1,0,1.5,Ruim
0,1,2,2,0,1,3.0,Bom
2,2,0,0,1,1,3.0,Bom
1,0,0,0,2,2,2.5,Ruim
2,1,2,0,0,1,3.0,Bom
2,0,0,0,0,2,2.0,Ruim
2,2,0,1,0,2,3.5,Bom
0,2,2,0,2,1,3.5,Bom
1,0,0,0,1,1,1.5,Ruim
1,1,2,0,0,2,3.0,Bom
0,1,1,0,1,0,1.5,Ruim
1,0,2,0,2,0,2.5,Ruim
0,1,2,2,2,2,4.5,Bom
1,0,1,0,0,2,2.0,Ruim
1,1,1,0,0,0,1.5,Ruim
0,0,1,1,1,2,2.5,Ruim
0,0,1,2,2,2,3.5,Bom
2,0,1,1,2,0,3.0,Bom
0,0,1,2,0,0,1.5,Ruim
0,0,2,1,2,2,3.5,Bom
2,2,1,2,1,2,5.0,Ótimo
0,0,0,2,2,0,2.0,Ruim
0,1,0,0,1,1,1.5,Ruim
0,2,1,2,0,0,2.5,Ruim
2,1,1,1,1,0,3.0,Bom
0,0,2,0,0,1,1.5,Ruim
2,1,0,2,2,1,4.0,Bom
0,0,2,2,0,0,2.0,Ruim
2,0,2,1,2,2,4.5,Bom
2,2,0,2,1,2,4.5,Bom
2,0,0,0,1,2,2.5,Ruim
0,1,1,2,2,1,3.5,Bom
1,0,0,1,0,1,1.5,Ruim
2,0,2,0,0,1,2.5,Ruim
2,1,0,2,2,1,4.0,Bom
2,2,2,1,2,2,5.5,Ótimo
1,1,0,2,1,0,2.5,Ruim
1,2,2,1,0,0,3.0,Bom
0,2,2,2,1,1,4.0,Bom
1,0,1,2,1,1,3.0,Bom
2,2,0,2,1,0,3.5,Bom
0,1,2,2,1,1,3.5,Bom
2,2,1,1,2,1,4.5,Bom
2,2,0,0,1,2,3.5,Bom
0,0,2,2,1,1,3.0,Bom
2,1,2,0,1,2,4.0,Bom
1,0,2,2,0,1,3.0,Bom
1,0,0,2,1,2,3.0,Bom
2,2,1,1,2,1,4.5,Bom
1,1,0,2,2,1,3.5,Bom
1,2,2,2,0,2,4.5,Bom
1,0,2,2,2,2,4.5,Bom
2,0,2,1,1,0,3.0,Bom
0,0,2,2,1,2,3.5,Bom
2,1,2,1,0,0,3.0,Bom
0,2,1,0,1,1,2.5,Ruim
2,1,2,0,2,0,3.5,Bom
1,0,1,0,1,2,2.5,Ruim
2,0,0,0,0,2,2.0,Ruim
0,0,1,2,0,2,2.5,Ruim
1,0,2,2,2,1,4.0,Bom
0,0,2,0,2,2,3.0,Bom
0,0,0,0,2,0,1.0,Ruim
0,2,2,2,2,2,5.0,Ótimo
2,0,1,1,0,1,2.5,Ruim
1,1,1,1,0,0,2.0,Ruim
2,2,0,2,1,0,3.5,Bom
1,0,1,2,2,0,3.0,Bom
2,1,1,2,1,1,4.0,Bom
1,1,2,0,0,0,2.0,Ruim
0,0,1,1,0,1,1.5,Ruim
1,1,1,1,2,2,4.0,Bom
2,0,2,2,0,0,3.0,Bom
0,2,1,0,1,2,3.0,Bom
0,0,1,1,1,1,2.0,Ruim
0,2,0,0,1,2,2.5,Ruim
2,1,2,2,1,2,5.0,Ótimo
2,2,2,2,0,2,5.0,Ótimo
1,1,1,0,2,1,3.0,Bom
1,1,2,0,1,2,3.5,Bom
1,1,0,1,0,0,1.5,Ruim
2,2,0,2,1,1,4.0,Bom
2,0,2,2,1,0,3.5,Bom
0,0,0,2,0,1,1.5,Ruim
0,0,1,1,2,1,2.5,Ruim
0,1,1,1,0,2,2.5,Ruim
1,1,1,1,2,2,4.0,Bom
1,1,1,0,1,2,3.0,Bom
0,0,1,1,0,1,1.5,Ruim
0,1,1,2,2,0,3.0,Bom
0,2,1,1,0,1,2.5,Ruim
1,0,1,1,2,0,2.5,Ruim
0,0,0,1,2,1,2.0,Ruim
0,1,0,0,2,1,2.0,Ruim
0,2,1,2,2,1,4.0,Bom
1,1,1,0,0,2,2.5,Ruim
2,0,0,1,1,1,2.5,Ruim
