EMPRESA,ANO,INFERÊNCIA (A),INFERÊNCIA (B),P(A),P(A|B),FONTE
Verizon,2023,dados de credenciais comprometidos,grandes empresas,-,0.37,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,atores externos,região: APAC,-,0.92,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,atores internos,região: APAC,-,0.09,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,motivo: financeiro,região: APAC,-,0.61,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,motivo: espionagem,região: APAC,-,0.39,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,dados internos comprometidos,região: APAC,-,0.56,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,dados secretos comprometidos,região: APAC,-,0.42,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,dados de credenciais comprometidos,região: APAC,-,0.29,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,atores externos,região: EMEA,-,0.98,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,atores internos,região: EMEA,-,0.02,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,motivo: financeiro,região: EMEA,-,0.91,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,motivo: espionagem,região: EMEA,-,0.08,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,dados internos comprometidos,região: EMEA,-,0.37,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,dados de sistema comprometidos,região: EMEA,-,0.35,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,dados de credenciais comprometidos,região: EMEA,-,0.53,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,atores externos,região: LAC,-,0.95,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,atores internos,região: LAC,-,0.05,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,motivo: financeiro,região: LAC,-,0.93,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,motivo: espionagem,região: LAC,-,0.11,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,dados internos comprometidos,região: LAC,-,0.32,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,dados de sistema comprometidos,região: LAC,-,0.55,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,dados de credenciais comprometidos,região: LAC,-,0.23,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,atores externos,região: NA,-,0.94,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,atores internos,região: NA,-,0.12,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,motivo: financeiro,região: NA,-,0.99,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,motivo: espionagem,região: NA,-,0.01,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,dados internos comprometidos,região: NA,-,0.5,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,dados pessoais comprometidos,região: NA,-,0.38,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,dados de credenciais comprometidos,região: NA,-,0.67,https://www.verizon.com/business/en-gb/resources/reports/dbir/
IBM,2023,vazamento,dados guardados na nuvem,-,0.82,IBM Cost of a vazamento de dados Report 2023
IBM,2023,ransomware,brecha,-,0.24,IBM Cost of a vazamento de dados Report 2023
IBGE,2021,setor de comércio,Brasil,-,0.364,https://www.ibge.gov.br/estatisticas/economicas/comercio/22649-demografia-das-empresas-e-estatisticas-de-empreendedorismo.html
IBGE,2021,setor de saúde,Brasil,-,0.064,https://www.ibge.gov.br/estatisticas/economicas/comercio/22649-demografia-das-empresas-e-estatisticas-de-empreendedorismo.html
IBGE,2021,setor financeiro,Brasil,-,0.03,https://www.ibge.gov.br/estatisticas/economicas/comercio/22649-demografia-das-empresas-e-estatisticas-de-empreendedorismo.html
OECD,2023,setor de comércio,-,0.3,-,https://stats.oecd.org/index.aspx?queryid=91
WHO,2023,setor de saúde,-,0.1,-,https://www.who.int/data/gho/data/themes/topics/health-workforce
IMF,2023,setor financeiro,-,0.07,-,https://www.imf.org/en/Home
Microsoft,2022,DDoS,Brasil,-,0.0175,https://www.microsoft.com/en-us/security/blog/2023/02/21/2022-in-review-ddos-attack-trends-and-insights/
Microsoft,2022,DDoS,Estados Unidos,-,0.4502,https://www.microsoft.com/en-us/security/blog/2023/02/21/2022-in-review-ddos-attack-trends-and-insights/
Microsoft,2022,DDoS,India,-,0.1322,https://www.microsoft.com/en-us/security/blog/2023/02/21/2022-in-review-ddos-attack-trends-and-insights/
Microsoft,2022,DDoS,Europa,-,0.1049,https://www.microsoft.com/en-us/security/blog/2023/02/21/2022-in-review-ddos-attack-trends-and-insights/
Microsoft,2022,DDoS,Leste Asiático,-,0.1125,https://www.microsoft.com/en-us/security/blog/2023/02/21/2022-in-review-ddos-attack-trends-and-insights/
Microsoft,2022,DDoS,Coréia do Sul,-,0.0422,https://www.microsoft.com/en-us/security/blog/2023/02/21/2022-in-review-ddos-attack-trends-and-insights/
Microsoft,2022,DDoS,Reino Unido,-,0.0223,https://www.microsoft.com/en-us/security/blog/2023/02/21/2022-in-review-ddos-attack-trends-and-insights/
Microsoft,2022,DDoS,Australia,-,0.0202,https://www.microsoft.com/en-us/security/blog/2023/02/21/2022-in-review-ddos-attack-trends-and-insights/
Stormwall,2022,DDoS,setor financeiro,-,0.34,https://stormwall.network/ddos-report-stormwall-2022
Stormwall,2022,DDoS,setor de comércio,-,0.17,https://stormwall.network/ddos-report-stormwall-2022
Stormwall,2022,DDoS,setor de saúde,-,0.01,https://stormwall.network/ddos-report-stormwall-2022
Stormwall,2022,DDoS,setor de telecomunicações,-,0.26,https://stormwall.network/ddos-report-stormwall-2022
Stormwall,2022,DDoS,setor de entretenimento,-,0.12,https://stormwall.network/ddos-report-stormwall-2022
Stormwall,2022,DDoS,setor de educação,-,0.02,https://stormwall.network/ddos-report-stormwall-2022
Stormwall,2022,DDoS,Estados Unidos,-,0.183,https://stormwall.network/ddos-report-stormwall-2022
Stormwall,2022,DDoS,China,-,0.107,https://stormwall.network/ddos-report-stormwall-2022
Stormwall,2022,DDoS,India,-,0.092,https://stormwall.network/ddos-report-stormwall-2022
Stormwall,2022,DDoS,Russia,-,0.084,https://stormwall.network/ddos-report-stormwall-2022
Stormwall,2022,DDoS,Inglaterra,-,0.072,https://stormwall.network/ddos-report-stormwall-2022
Stormwall,2022,DDoS,Alemanha,-,0.068,https://stormwall.network/ddos-report-stormwall-2022
Stormwall,2022,DDoS,França,-,0.053,https://stormwall.network/ddos-report-stormwall-2022
Stormwall,2022,DDoS,Japão,-,0.047,https://stormwall.network/ddos-report-stormwall-2022
Stormwall,2022,DDoS,Ucrânia,-,0.045,https://stormwall.network/ddos-report-stormwall-2022
Stormwall,2022,DDoS,Brasil,-,0.042,https://stormwall.network/ddos-report-stormwall-2022
Radware,2022,DDoS,setor financeiro,-,0.526,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,DDoS,setor de comércio,-,0.06,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,DDoS,setor de saúde,-,0.105,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,DDoS,setor de telecomunicações,-,0.047,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,DDoS,setor de educação,-,0.028,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,DDoS,setor financeiro | região: Américas,-,0.315,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,DDoS,setor de saúde | região: Américas,-,0.239,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,DDoS,setor de telecomunicações | região: Américas,-,0.123,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,DDoS,setor financeiro | região: EMEA,-,0.706,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,DDoS,setor de saúde | região: EMEA,-,0.0332,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,DDoS,setor de telecomunicações | região: EMEA,-,0.0113,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,DDoS,setor de educação | região: EMEA,-,0.0128,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,DDoS,setor financeiro | região: APAC,-,0.0935,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,DDoS,setor de saúde | região: APAC,-,0.0261,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,DDoS,setor de telecomunicações | região: APAC,-,0.023,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,DDoS,setor de educação | região: APAC,-,0.0411,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,DDoS,setor de saúde | região: APAC,-,0.0261,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,ciberataque,Estados Unidos,-,0.484,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,ciberataque,India,-,0.0994,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,ciberataque,Itália,-,0.0813,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,ciberataque,Rússia,-,0.0722,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,ciberataque,Canadá,-,0.0564,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,ciberataque,Alemanha,-,0.0478,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,ciberataque,Reino Unido,-,0.0397,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,ataque por uma aplicação web,setor financeiro,-,0.03,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,ataque por uma aplicação web,setor de comércio,-,0.253,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,ataque por uma aplicação web,setor de educação,-,0.0333,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
Radware,2022,ataque por uma aplicação web,setor de saúde,-,0.0331,https://www.radware.com/getattachment/b775fe9c-326f-4f97-b6c7-8545b5b68e42/Radware-2022-Global-Threat-Analysis-Report.pdf.aspx
